epoch,train_loss,train_accuracy,learning_rate
1,1.3805068969726562,0.2791666666666667,0.001
2,1.299061075846354,0.4375,0.001
3,1.2196769714355469,0.5041666666666667,0.001
4,1.130483627319336,0.59375,0.001
5,1.0032565434773764,0.6447916666666667,0.001
6,0.8377857844034831,0.7135416666666666,0.001
7,0.7569495062033336,0.7135416666666666,0.001
8,0.69111328125,0.7385416666666667,0.001
9,0.6633853544791539,0.7364583333333333,0.001
10,0.6327524195114772,0.7677083333333333,0.001
11,0.57477166056633,0.771875,0.001
