epoch,train_loss,train_accuracy,val_window_accuracy,val_window_balanced_accuracy,val_window_macro_f1,val_window_macro_precision,val_window_macro_recall,val_file_accuracy,val_file_balanced_accuracy,val_file_macro_f1,val_file_macro_precision,val_file_macro_recall,learning_rate
1,1.4386622111002605,0.22135416666666666,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
2,1.409868876139323,0.28125,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
3,1.380706787109375,0.3515625,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
4,1.3729934692382812,0.3515625,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
5,1.361676534016927,0.3541666666666667,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
6,1.3469009399414062,0.3723958333333333,0.2421875,0.2421875,0.09748427672955975,0.0610236220472441,0.2421875,0.25,0.25,0.1,0.0625,0.25,0.0003
7,1.3306643168131511,0.375,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.00015
8,1.3206748962402344,0.4505208333333333,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.00015
9,1.3159713745117188,0.453125,0.25,0.25,0.10526315789473685,0.06666666666666667,0.25,0.25,0.25,0.1,0.0625,0.25,0.00015
10,1.3105265299479167,0.4661458333333333,0.3203125,0.3203125,0.21571636246163786,0.3172268907563025,0.3203125,0.25,0.25,0.1,0.0625,0.25,0.00015
11,1.3018430074055989,0.4583333333333333,0.2890625,0.2890625,0.1707933740191805,0.3150406504065041,0.2890625,0.25,0.25,0.1,0.0625,0.25,0.00015
12,1.2919044494628906,0.4791666666666667,0.1953125,0.1953125,0.12608213096559379,0.09382967873533912,0.1953125,0.375,0.375,0.24285714285714288,0.18333333333333335,0.375,0.00015
13,1.2804527282714844,0.5052083333333334,0.3046875,0.3046875,0.23350745788864602,0.39473343685300205,0.3046875,0.5,0.5,0.34285714285714286,0.26666666666666666,0.5,0.00015
14,1.2860984802246094,0.4921875,0.296875,0.296875,0.21603224361845053,0.3952802359882006,0.296875,0.25,0.25,0.1,0.0625,0.25,0.00015
15,1.2706082661946614,0.5208333333333334,0.265625,0.265625,0.16765596608116293,0.13397129186602869,0.265625,0.25,0.25,0.1,0.0625,0.25,0.00015
16,1.2650642395019531,0.515625,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.00015
17,1.2554334004720051,0.5703125,0.359375,0.359375,0.30715309918902844,0.33078470824949696,0.359375,0.375,0.375,0.30952380952380953,0.35,0.375,0.00015
18,1.2520408630371094,0.5416666666666666,0.2734375,0.2734375,0.24369201777221622,0.479019129019129,0.2734375,0.25,0.25,0.1,0.0625,0.25,0.00015
19,1.2437934875488281,0.5651041666666666,0.2109375,0.2109375,0.11542063368191041,0.11946386946386946,0.2109375,0.25,0.25,0.1,0.0625,0.25,7.5e-05
20,1.2383308410644531,0.6015625,0.3046875,0.3046875,0.22228444223217744,0.37554347826086953,0.3046875,0.25,0.25,0.1,0.0625,0.25,7.5e-05
21,1.237225850423177,0.5859375,0.46875,0.46875,0.43701860929716635,0.47545533568543236,0.46875,0.75,0.75,0.6666666666666666,0.625,0.75,7.5e-05
22,1.2352714538574219,0.5729166666666666,0.484375,0.484375,0.43233595324922425,0.5569400173862649,0.484375,0.625,0.625,0.5595238095238095,0.6,0.625,7.5e-05
23,1.2291768391927083,0.578125,0.546875,0.546875,0.4917185257414569,0.6798258003766479,0.546875,0.75,0.75,0.6666666666666666,0.625,0.75,7.5e-05
24,1.2280928293863933,0.578125,0.390625,0.390625,0.36823834628902746,0.40161598459012254,0.390625,0.5,0.5,0.4583333333333333,0.4375,0.5,7.5e-05
25,1.2167383829752605,0.5859375,0.4296875,0.4296875,0.4092706726431295,0.45430068226120857,0.4296875,0.625,0.625,0.6416666666666666,0.7083333333333333,0.625,7.5e-05
26,1.2317975362141926,0.5989583333333334,0.3671875,0.3671875,0.3480386992555134,0.40025139386698527,0.3671875,0.625,0.625,0.5595238095238095,0.6,0.625,7.5e-05
27,1.2100753784179688,0.59375,0.4375,0.4375,0.39473421552529053,0.6919761273209548,0.4375,0.5,0.5,0.375,0.3333333333333333,0.5,3.75e-05
28,1.2171777089436848,0.5989583333333334,0.5390625,0.5390625,0.506578947368421,0.566017316017316,0.5390625,0.75,0.75,0.6666666666666666,0.625,0.75,3.75e-05
29,1.2180194854736328,0.609375,0.5234375,0.5234375,0.4951945706197952,0.5486986714975846,0.5234375,0.75,0.75,0.6666666666666666,0.625,0.75,3.75e-05
30,1.2067820231119792,0.6302083333333334,0.546875,0.546875,0.5086027194772691,0.5667480667480668,0.546875,0.75,0.75,0.6666666666666666,0.625,0.75,3.75e-05
31,1.2002188364664714,0.6223958333333334,0.3828125,0.3828125,0.3946953781512605,0.44003739316239315,0.3828125,0.625,0.625,0.5595238095238095,0.6,0.625,3.75e-05
32,1.2081286112467449,0.5598958333333334,0.4296875,0.4296875,0.44081636082543524,0.4654827315541602,0.4296875,0.75,0.75,0.7499999999999999,0.875,0.75,3.75e-05
33,1.2025197347005208,0.6145833333333334,0.40625,0.40625,0.4245311408904998,0.46976690355838047,0.40625,0.75,0.75,0.7499999999999999,0.875,0.75,1.875e-05
34,1.2085024515787761,0.625,0.5,0.5,0.4889558187713926,0.4972087041156841,0.5,0.875,0.875,0.8666666666666667,0.9166666666666666,0.875,1.875e-05
35,1.2125434875488281,0.6067708333333334,0.5390625,0.5390625,0.5099295494834648,0.5541287878787879,0.5390625,0.75,0.75,0.6666666666666666,0.625,0.75,1.875e-05
36,1.2055892944335938,0.6041666666666666,0.5390625,0.5390625,0.5074456705933654,0.539695423623995,0.5390625,0.75,0.75,0.6666666666666666,0.625,0.75,1.875e-05
37,1.206661860148112,0.6354166666666666,0.4921875,0.4921875,0.48510187612019695,0.4819102069102069,0.4921875,0.875,0.875,0.8666666666666667,0.9166666666666666,0.875,1.875e-05
38,1.2092005411783855,0.5859375,0.4375,0.4375,0.44750508883405793,0.5142484712327451,0.4375,0.75,0.75,0.7416666666666666,0.7916666666666666,0.75,1.875e-05
39,1.208706537882487,0.6015625,0.484375,0.484375,0.47697669977081747,0.49682482714168524,0.484375,0.75,0.75,0.7416666666666666,0.7916666666666666,0.75,1.875e-05
40,1.1966438293457031,0.6223958333333334,0.5234375,0.5234375,0.5008934608326089,0.5111499281703017,0.5234375,0.875,0.875,0.8666666666666667,0.9166666666666666,0.875,9.375e-06
41,1.2004865010579426,0.6041666666666666,0.484375,0.484375,0.46994165255034825,0.4764590677634156,0.484375,0.75,0.75,0.7416666666666666,0.7916666666666666,0.75,9.375e-06
42,1.195696512858073,0.6484375,0.5078125,0.5078125,0.49029642545771573,0.4905388471177945,0.5078125,0.875,0.875,0.8666666666666667,0.9166666666666666,0.875,9.375e-06
43,1.2011617024739583,0.6328125,0.4765625,0.4765625,0.4742755256493423,0.47550697356036625,0.4765625,0.875,0.875,0.8666666666666667,0.9166666666666666,0.875,9.375e-06
44,1.2012437184651692,0.6354166666666666,0.53125,0.53125,0.5230158730158732,0.5275601638504864,0.53125,0.875,0.875,0.8666666666666667,0.9166666666666666,0.875,9.375e-06
45,1.205116907755534,0.6119791666666666,0.5234375,0.5234375,0.5114071394834314,0.5090011229717112,0.5234375,0.875,0.875,0.8666666666666667,0.9166666666666666,0.875,9.375e-06
46,1.2024275461832683,0.5989583333333334,0.5234375,0.5234375,0.5116957903681554,0.5121299871299871,0.5234375,0.875,0.875,0.8666666666666667,0.9166666666666666,0.875,4.6875e-06
47,1.1987940470377605,0.640625,0.5078125,0.5078125,0.4997440159974944,0.49681843497632966,0.5078125,0.875,0.875,0.8666666666666667,0.9166666666666666,0.875,4.6875e-06
48,1.1990216573079426,0.6119791666666666,0.5078125,0.5078125,0.5008688221051132,0.5,0.5078125,0.875,0.875,0.8666666666666667,0.9166666666666666,0.875,4.6875e-06
49,1.1988264719645183,0.6145833333333334,0.5078125,0.5078125,0.49940029985007495,0.4968072468072468,0.5078125,0.875,0.875,0.8666666666666667,0.9166666666666666,0.875,4.6875e-06
