epoch,train_loss,train_accuracy,learning_rate
1,1.2815830409526825,0.376953125,0.001
2,0.9389464966952801,0.5810546875,0.001
3,0.8702632477506995,0.603515625,0.001
4,0.8261652309447527,0.6240234375,0.001
5,0.7553088106215,0.6689453125,0.001
6,0.7159955678507686,0.693359375,0.001
7,0.7120104655623436,0.693359375,0.001
8,0.6512118903920054,0.7197265625,0.001
9,0.5642299661412835,0.76953125,0.001
10,0.6071012960746884,0.75,0.001
11,0.46617284789681435,0.8291015625,0.001
12,0.43207304645329714,0.8388671875,0.001
13,0.3699161682743579,0.86328125,0.001
14,0.34324177191592753,0.859375,0.001
15,0.33659697137773037,0.8779296875,0.001
16,0.29316807712893933,0.8955078125,0.001
17,0.25884268700610846,0.9130859375,0.001
18,0.2596930257277563,0.9052734375,0.001
19,0.26705709495581686,0.8994140625,0.001
20,0.25581062608398497,0.900390625,0.001
21,0.23814062937162817,0.916015625,0.001
22,0.20649120002053678,0.9208984375,0.001
23,0.194383391761221,0.93359375,0.001
24,0.2311376630095765,0.9169921875,0.001
25,0.20441838540136814,0.9365234375,0.001
26,0.16750449989922345,0.9404296875,0.001
27,0.18494027433916926,0.9326171875,0.001
28,0.1750372254755348,0.931640625,0.001
29,0.1558095368091017,0.9423828125,0.001
30,0.16819016181398183,0.9443359375,0.001
31,0.1662205207394436,0.947265625,0.001
32,0.15189808222930878,0.9521484375,0.001
33,0.11986404692288488,0.962890625,0.001
34,0.1612293414073065,0.94140625,0.001
