epoch,train_loss,train_accuracy,val_window_accuracy,val_window_balanced_accuracy,val_window_macro_f1,val_window_macro_precision,val_window_macro_recall,val_file_accuracy,val_file_balanced_accuracy,val_file_macro_f1,val_file_macro_precision,val_file_macro_recall,learning_rate
1,1.4171562194824219,0.2942708333333333,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
2,1.3053874969482422,0.3776041666666667,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
3,1.1697928110758464,0.4609375,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
4,1.0192752579847972,0.5677083333333334,0.328125,0.328125,0.22863666014350945,0.3201754385964912,0.328125,0.25,0.25,0.1,0.0625,0.25,0.0003
5,0.9464295456806818,0.5833333333333334,0.234375,0.234375,0.14398326898326896,0.17887931034482757,0.234375,0.25,0.25,0.1,0.0625,0.25,0.0003
6,0.888124922911326,0.6302083333333334,0.28125,0.28125,0.1581196581196581,0.31451612903225806,0.28125,0.25,0.25,0.1,0.0625,0.25,0.0003
7,0.864383285244306,0.6276041666666666,0.3515625,0.3515625,0.2574744096483227,0.5363577863577863,0.3515625,0.25,0.25,0.1,0.0625,0.25,0.00015
8,0.8168417861064275,0.6302083333333334,0.4296875,0.4296875,0.3286488579171506,0.33553274682306944,0.4296875,0.5,0.5,0.375,0.3333333333333333,0.5,0.00015
9,0.7982832690080007,0.6536458333333334,0.3046875,0.3046875,0.19431875314228256,0.31611570247933884,0.3046875,0.25,0.25,0.1,0.0625,0.25,0.00015
10,0.8089152127504349,0.625,0.34375,0.34375,0.24447174447174447,0.31896551724137934,0.34375,0.25,0.25,0.1,0.0625,0.25,0.00015
11,0.7931515773137411,0.6875,0.421875,0.421875,0.3196457326892109,0.32547169811320753,0.421875,0.5,0.5,0.375,0.3333333333333333,0.5,0.00015
12,0.7930840402841568,0.6536458333333334,0.3515625,0.3515625,0.30200448556209697,0.3542429792429792,0.3515625,0.5,0.5,0.375,0.3333333333333333,0.5,0.00015
13,0.7384980022907257,0.6536458333333334,0.3828125,0.3828125,0.28535749964321394,0.32207207207207206,0.3828125,0.5,0.5,0.375,0.3333333333333333,0.5,0.00015
14,0.7617170388499895,0.6666666666666666,0.5703125,0.5703125,0.5077635198390352,0.7106458675424193,0.5703125,0.625,0.625,0.5595238095238095,0.6,0.625,0.00015
15,0.7107479696472486,0.7057291666666666,0.3359375,0.3359375,0.24015151515151514,0.21678571428571428,0.3359375,0.5,0.5,0.375,0.3333333333333333,0.5,0.00015
16,0.6944955388704935,0.7265625,0.3671875,0.3671875,0.30776918009356957,0.30818181818181817,0.3671875,0.5,0.5,0.375,0.3333333333333333,0.5,0.00015
17,0.6864785278836886,0.7421875,0.3671875,0.3671875,0.2699192956713133,0.32079646017699115,0.3671875,0.25,0.25,0.1,0.0625,0.25,0.00015
18,0.6721531276901563,0.7109375,0.3671875,0.3671875,0.2699192956713133,0.32079646017699115,0.3671875,0.25,0.25,0.1,0.0625,0.25,0.00015
19,0.6980452487866083,0.7083333333333334,0.4453125,0.4453125,0.3739695149824246,0.5792079207920792,0.4453125,0.5,0.5,0.375,0.3333333333333333,0.5,0.00015
20,0.6540341650446256,0.71875,0.5078125,0.5078125,0.49690476190476185,0.5439586754241926,0.5078125,0.75,0.75,0.6666666666666666,0.625,0.75,0.00015
