run_name,learning_rate,weight_decay,dropout,val_subject,best_epoch,val_accuracy,val_balanced_accuracy,val_macro_f1
lr0p001_wd0p0001_drop0p25_val113922,0.001,0.0001,0.25,113922,13,0.3125,0.3125,0.20526315789473687
lr0p001_wd0p0001_drop0p25_val164636,0.001,0.0001,0.25,164636,21,0.4375,0.4375,0.32121212121212117
lr0p001_wd0p0001_drop0p5_val113922,0.001,0.0001,0.5,113922,1,0.25,0.25,0.1
lr0p001_wd0p0001_drop0p5_val164636,0.001,0.0001,0.5,164636,17,0.4375,0.4375,0.32222222222222224
lr0p001_wd0p001_drop0p25_val113922,0.001,0.001,0.25,113922,16,0.46875,0.46875,0.41351981351981354
lr0p001_wd0p001_drop0p25_val164636,0.001,0.001,0.25,164636,35,0.625,0.625,0.5414438502673797
lr0p001_wd0p001_drop0p5_val113922,0.001,0.001,0.5,113922,1,0.25,0.25,0.1
lr0p001_wd0p001_drop0p5_val164636,0.001,0.001,0.5,164636,29,0.59375,0.59375,0.5106787330316742
lr0p0003_wd0p0001_drop0p25_val113922,0.0003,0.0001,0.25,113922,17,0.5,0.5,0.4979813664596273
lr0p0003_wd0p0001_drop0p25_val164636,0.0003,0.0001,0.25,164636,8,0.40625,0.40625,0.27499999999999997
lr0p0003_wd0p0001_drop0p5_val113922,0.0003,0.0001,0.5,113922,22,0.5,0.5,0.4420289855072464
lr0p0003_wd0p0001_drop0p5_val164636,0.0003,0.0001,0.5,164636,16,0.53125,0.53125,0.46293103448275863
lr0p0003_wd0p001_drop0p25_val113922,0.0003,0.001,0.25,113922,9,0.46875,0.46875,0.40217391304347827
lr0p0003_wd0p001_drop0p25_val164636,0.0003,0.001,0.25,164636,24,0.5625,0.5625,0.4696172248803828
lr0p0003_wd0p001_drop0p5_val113922,0.0003,0.001,0.5,113922,17,0.375,0.375,0.24867724867724866
lr0p0003_wd0p001_drop0p5_val164636,0.0003,0.001,0.5,164636,34,0.59375,0.59375,0.508442265795207
