run_name,params_json,win,drop,sf,tf,lr,wd,val_subject,best_epoch,val_accuracy,val_balanced_accuracy,val_macro_f1
win1p0_drop0p25_sf32_tf16_lr0p001_wd0p001_val113922,"{""data.window_seconds"":1.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.temporal_filters"":16,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",1.0,0.25,32,16,0.001,0.001,113922,1,0.25,0.25,0.1
win1p0_drop0p25_sf32_tf16_lr0p001_wd0p001_val164636,"{""data.window_seconds"":1.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.temporal_filters"":16,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",1.0,0.25,32,16,0.001,0.001,164636,23,0.59375,0.59375,0.5233333333333333
win1p0_drop0p25_sf64_tf16_lr0p001_wd0p001_val113922,"{""data.window_seconds"":1.0,""model.params.dropout"":0.25,""model.params.separable_filters"":64,""model.params.temporal_filters"":16,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",1.0,0.25,64,16,0.001,0.001,113922,14,0.46875,0.46875,0.3125
win1p0_drop0p25_sf64_tf16_lr0p001_wd0p001_val164636,"{""data.window_seconds"":1.0,""model.params.dropout"":0.25,""model.params.separable_filters"":64,""model.params.temporal_filters"":16,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",1.0,0.25,64,16,0.001,0.001,164636,1,0.25,0.25,0.1
win1p0_drop0p25_sf32_tf32_lr0p001_wd0p001_val113922,"{""data.window_seconds"":1.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.temporal_filters"":32,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",1.0,0.25,32,32,0.001,0.001,113922,19,0.6875,0.6875,0.6181318681318682
win1p0_drop0p25_sf32_tf32_lr0p001_wd0p001_val164636,"{""data.window_seconds"":1.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.temporal_filters"":32,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",1.0,0.25,32,32,0.001,0.001,164636,1,0.25,0.25,0.1
win1p0_drop0p25_sf64_tf32_lr0p001_wd0p001_val113922,"{""data.window_seconds"":1.0,""model.params.dropout"":0.25,""model.params.separable_filters"":64,""model.params.temporal_filters"":32,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",1.0,0.25,64,32,0.001,0.001,113922,6,0.6875,0.6875,0.6181318681318682
win1p0_drop0p25_sf64_tf32_lr0p001_wd0p001_val164636,"{""data.window_seconds"":1.0,""model.params.dropout"":0.25,""model.params.separable_filters"":64,""model.params.temporal_filters"":32,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",1.0,0.25,64,32,0.001,0.001,164636,1,0.25,0.25,0.1
win2p0_drop0p25_sf32_tf16_lr0p001_wd0p001_val113922,"{""data.window_seconds"":2.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.temporal_filters"":16,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",2.0,0.25,32,16,0.001,0.001,113922,1,0.25,0.25,0.1
win2p0_drop0p25_sf32_tf16_lr0p001_wd0p001_val164636,"{""data.window_seconds"":2.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.temporal_filters"":16,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",2.0,0.25,32,16,0.001,0.001,164636,1,0.25,0.25,0.1
