run_name,params_json,win,drop,sf,tf,lr,wd,val_subject,best_epoch,val_accuracy,val_balanced_accuracy,val_macro_f1
win1p0_drop0p25_sf32_tf16_lr0p0003_wd0p0001,"{""data.window_seconds"":1.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.temporal_filters"":16,""training.learning_rate"":0.0003,""training.weight_decay"":0.0001}",1.0,0.25,32,16,0.0003,0.0001,,1,0.25,0.25,0.1
win1p0_drop0p25_sf64_tf16_lr0p0003_wd0p0001,"{""data.window_seconds"":1.0,""model.params.dropout"":0.25,""model.params.separable_filters"":64,""model.params.temporal_filters"":16,""training.learning_rate"":0.0003,""training.weight_decay"":0.0001}",1.0,0.25,64,16,0.0003,0.0001,,12,0.75,0.75,0.6666666666666666
win1p0_drop0p25_sf32_tf32_lr0p0003_wd0p0001,"{""data.window_seconds"":1.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.temporal_filters"":32,""training.learning_rate"":0.0003,""training.weight_decay"":0.0001}",1.0,0.25,32,32,0.0003,0.0001,,12,0.875,0.875,0.8666666666666667
win1p0_drop0p25_sf64_tf32_lr0p0003_wd0p0001,"{""data.window_seconds"":1.0,""model.params.dropout"":0.25,""model.params.separable_filters"":64,""model.params.temporal_filters"":32,""training.learning_rate"":0.0003,""training.weight_decay"":0.0001}",1.0,0.25,64,32,0.0003,0.0001,,8,0.75,0.75,0.6666666666666666
win2p0_drop0p25_sf32_tf16_lr0p0003_wd0p0001,"{""data.window_seconds"":2.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.temporal_filters"":16,""training.learning_rate"":0.0003,""training.weight_decay"":0.0001}",2.0,0.25,32,16,0.0003,0.0001,,1,0.25,0.25,0.1
win2p0_drop0p25_sf64_tf16_lr0p0003_wd0p0001,"{""data.window_seconds"":2.0,""model.params.dropout"":0.25,""model.params.separable_filters"":64,""model.params.temporal_filters"":16,""training.learning_rate"":0.0003,""training.weight_decay"":0.0001}",2.0,0.25,64,16,0.0003,0.0001,,1,0.25,0.25,0.1
win2p0_drop0p25_sf32_tf32_lr0p0003_wd0p0001,"{""data.window_seconds"":2.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.temporal_filters"":32,""training.learning_rate"":0.0003,""training.weight_decay"":0.0001}",2.0,0.25,32,32,0.0003,0.0001,,20,0.875,0.875,0.8666666666666667
win2p0_drop0p25_sf64_tf32_lr0p0003_wd0p0001,"{""data.window_seconds"":2.0,""model.params.dropout"":0.25,""model.params.separable_filters"":64,""model.params.temporal_filters"":32,""training.learning_rate"":0.0003,""training.weight_decay"":0.0001}",2.0,0.25,64,32,0.0003,0.0001,,10,0.625,0.625,0.5595238095238095
win3p0_drop0p25_sf32_tf16_lr0p0003_wd0p0001,"{""data.window_seconds"":3.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.temporal_filters"":16,""training.learning_rate"":0.0003,""training.weight_decay"":0.0001}",3.0,0.25,32,16,0.0003,0.0001,,1,0.25,0.25,0.1
win3p0_drop0p25_sf64_tf16_lr0p0003_wd0p0001,"{""data.window_seconds"":3.0,""model.params.dropout"":0.25,""model.params.separable_filters"":64,""model.params.temporal_filters"":16,""training.learning_rate"":0.0003,""training.weight_decay"":0.0001}",3.0,0.25,64,16,0.0003,0.0001,,8,0.75,0.75,0.6666666666666666
win3p0_drop0p25_sf32_tf32_lr0p0003_wd0p0001,"{""data.window_seconds"":3.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.temporal_filters"":32,""training.learning_rate"":0.0003,""training.weight_decay"":0.0001}",3.0,0.25,32,32,0.0003,0.0001,,11,0.625,0.625,0.5595238095238095
win3p0_drop0p25_sf64_tf32_lr0p0003_wd0p0001,"{""data.window_seconds"":3.0,""model.params.dropout"":0.25,""model.params.separable_filters"":64,""model.params.temporal_filters"":32,""training.learning_rate"":0.0003,""training.weight_decay"":0.0001}",3.0,0.25,64,32,0.0003,0.0001,,10,0.75,0.75,0.6666666666666666
