epoch,train_loss,train_accuracy,val_window_accuracy,val_window_balanced_accuracy,val_window_macro_f1,val_window_macro_precision,val_window_macro_recall,val_file_accuracy,val_file_balanced_accuracy,val_file_macro_f1,val_file_macro_precision,val_file_macro_recall,learning_rate
1,1.421112060546875,0.2552083333333333,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
2,1.3746884663899739,0.3203125,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
3,1.3308118184407551,0.4244791666666667,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
4,1.2974669138590496,0.4296875,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
5,1.270495096842448,0.4739583333333333,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.00015
6,1.2396348317464192,0.5130208333333334,0.4296875,0.4296875,0.40126075173795217,0.6577501445922498,0.4296875,0.5,0.5,0.375,0.3333333333333333,0.5,0.00015
7,1.228141148885091,0.515625,0.3828125,0.3828125,0.3008743446791006,0.5720720720720721,0.3828125,0.5,0.5,0.375,0.3333333333333333,0.5,0.00015
8,1.2185103098551433,0.515625,0.46875,0.46875,0.41027567330426173,0.6838704994192799,0.46875,0.375,0.375,0.30952380952380953,0.35,0.375,0.00015
9,1.1905632019042969,0.5885416666666666,0.4296875,0.4296875,0.39270430121493954,0.7419093851132685,0.4296875,0.5,0.5,0.375,0.3333333333333333,0.5,0.00015
10,1.1949357986450195,0.5885416666666666,0.4609375,0.4609375,0.4293825222396651,0.6285650623885918,0.4609375,0.625,0.625,0.5595238095238095,0.6,0.625,0.00015
11,1.1757577260335286,0.5807291666666666,0.296875,0.296875,0.18284347231715653,0.3155737704918033,0.296875,0.25,0.25,0.1,0.0625,0.25,0.00015
12,1.1640820503234863,0.6145833333333334,0.5,0.5,0.4341491841491842,0.4239010989010989,0.5,0.625,0.625,0.5595238095238095,0.6,0.625,0.00015
13,1.163016637166341,0.5963541666666666,0.4375,0.4375,0.3760768578044325,0.48909090909090913,0.4375,0.5,0.5,0.375,0.3333333333333333,0.5,0.00015
14,1.1385203997294109,0.6197916666666666,0.4453125,0.4453125,0.38024146905725853,0.49501984126984133,0.4453125,0.5,0.5,0.375,0.3333333333333333,0.5,7.5e-05
15,1.1427593231201172,0.59375,0.484375,0.484375,0.3926169458956344,0.44671018945212493,0.484375,0.5,0.5,0.375,0.3333333333333333,0.5,7.5e-05
16,1.1416236559549968,0.6171875,0.4765625,0.4765625,0.3633185840707964,0.44561082400229685,0.4765625,0.5,0.5,0.375,0.3333333333333333,0.5,7.5e-05
17,1.1411786874135335,0.6145833333333334,0.53125,0.53125,0.4914636761957288,0.5026284048023179,0.53125,0.625,0.625,0.5595238095238095,0.6,0.625,7.5e-05
18,1.1237441698710124,0.65625,0.40625,0.40625,0.3298005698005698,0.44274926799198644,0.40625,0.375,0.375,0.2777777777777778,0.3214285714285714,0.375,3.75e-05
