run_name,learning_rate,weight_decay,dropout,val_subject,best_epoch,val_accuracy,val_balanced_accuracy,val_macro_f1
lr0p001_wd0p0001_drop0p25_val113922,0.001,0.0001,0.25,113922,52,0.6875,0.6875,0.6865079365079365
lr0p001_wd0p0001_drop0p25_val164636,0.001,0.0001,0.25,164636,1,0.25,0.25,0.1
lr0p001_wd0p0001_drop0p5_val113922,0.001,0.0001,0.5,113922,1,0.25,0.25,0.1
lr0p001_wd0p0001_drop0p5_val164636,0.001,0.0001,0.5,164636,38,0.5625,0.5625,0.5053921568627451
lr0p001_wd0p001_drop0p25_val113922,0.001,0.001,0.25,113922,1,0.25,0.25,0.1
lr0p001_wd0p001_drop0p25_val164636,0.001,0.001,0.25,164636,66,0.84375,0.84375,0.8380566801619433
lr0p001_wd0p001_drop0p5_val113922,0.001,0.001,0.5,113922,1,0.25,0.25,0.1
lr0p001_wd0p001_drop0p5_val164636,0.001,0.001,0.5,164636,9,0.4375,0.4375,0.2902097902097902
lr0p0003_wd0p0001_drop0p25_val113922,0.0003,0.0001,0.25,113922,1,0.25,0.25,0.1
lr0p0003_wd0p0001_drop0p25_val164636,0.0003,0.0001,0.25,164636,12,0.5,0.5,0.375
lr0p0003_wd0p0001_drop0p5_val113922,0.0003,0.0001,0.5,113922,26,0.40625,0.40625,0.3464912280701754
lr0p0003_wd0p0001_drop0p5_val164636,0.0003,0.0001,0.5,164636,5,0.40625,0.40625,0.2704347826086957
lr0p0003_wd0p001_drop0p25_val113922,0.0003,0.001,0.25,113922,1,0.25,0.25,0.1
lr0p0003_wd0p001_drop0p25_val164636,0.0003,0.001,0.25,164636,33,0.5625,0.5625,0.4907289002557545
lr0p0003_wd0p001_drop0p5_val113922,0.0003,0.001,0.5,113922,1,0.25,0.25,0.1
lr0p0003_wd0p001_drop0p5_val164636,0.0003,0.001,0.5,164636,27,0.4375,0.4375,0.38257575757575757
