epoch,train_loss,train_accuracy,val_window_accuracy,val_window_balanced_accuracy,val_window_macro_f1,val_window_macro_precision,val_window_macro_recall,val_file_accuracy,val_file_balanced_accuracy,val_file_macro_f1,val_file_macro_precision,val_file_macro_recall,learning_rate
1,1.4112701416015625,0.3125,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
2,1.2892052332560222,0.4036458333333333,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
3,1.1380656560262044,0.5078125,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
4,1.0146479904651642,0.5677083333333334,0.3203125,0.3203125,0.2257192012393971,0.39025389025389023,0.3203125,0.25,0.25,0.1,0.0625,0.25,0.0003
5,0.9392351110776266,0.5807291666666666,0.453125,0.453125,0.39635693448152887,0.4326853526220615,0.453125,0.625,0.625,0.5595238095238095,0.6,0.625,0.0003
6,0.8756348664561907,0.6484375,0.2734375,0.2734375,0.19367245657568238,0.17023809523809524,0.2734375,0.25,0.25,0.1,0.0625,0.25,0.0003
7,0.8591400409738222,0.6614583333333334,0.2890625,0.2890625,0.16776315789473684,0.22291666666666665,0.2890625,0.25,0.25,0.1,0.0625,0.25,0.0003
8,0.8228660623232523,0.6588541666666666,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
9,0.8049314916133881,0.6666666666666666,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
10,0.790841410557429,0.6875,0.40625,0.40625,0.30378715895208364,0.312861593235425,0.40625,0.5,0.5,0.375,0.3333333333333333,0.5,0.0003
11,0.8078906213243803,0.6536458333333334,0.390625,0.390625,0.30063392857142857,0.403309811827957,0.390625,0.5,0.5,0.375,0.3333333333333333,0.5,0.00015
12,0.7488574013113976,0.6979166666666666,0.4375,0.4375,0.3935678327181936,0.4941482843137255,0.4375,0.375,0.375,0.2777777777777778,0.3214285714285714,0.375,0.00015
