path,protocol,split,task,class_name,label,subject,chunk
Final Project data\Final Project data\Cross\test1\rest_162935_1.h5,Cross,test1,rest,rest,0,162935,1
Final Project data\Final Project data\Cross\test1\rest_162935_10.h5,Cross,test1,rest,rest,0,162935,10
Final Project data\Final Project data\Cross\test1\rest_162935_3.h5,Cross,test1,rest,rest,0,162935,3
Final Project data\Final Project data\Cross\test1\rest_162935_5.h5,Cross,test1,rest,rest,0,162935,5
Final Project data\Final Project data\Cross\test1\task_motor_162935_1.h5,Cross,test1,task_motor,motor,3,162935,1
Final Project data\Final Project data\Cross\test1\task_motor_162935_3.h5,Cross,test1,task_motor,motor,3,162935,3
Final Project data\Final Project data\Cross\test1\task_motor_162935_4.h5,Cross,test1,task_motor,motor,3,162935,4
Final Project data\Final Project data\Cross\test1\task_motor_162935_9.h5,Cross,test1,task_motor,motor,3,162935,9
Final Project data\Final Project data\Cross\test1\task_story_math_162935_2.h5,Cross,test1,task_story_math,math_story,1,162935,2
Final Project data\Final Project data\Cross\test1\task_story_math_162935_3.h5,Cross,test1,task_story_math,math_story,1,162935,3
Final Project data\Final Project data\Cross\test1\task_story_math_162935_4.h5,Cross,test1,task_story_math,math_story,1,162935,4
Final Project data\Final Project data\Cross\test1\task_story_math_162935_6.h5,Cross,test1,task_story_math,math_story,1,162935,6
Final Project data\Final Project data\Cross\test1\task_working_memory_162935_3.h5,Cross,test1,task_working_memory,working_memory,2,162935,3
Final Project data\Final Project data\Cross\test1\task_working_memory_162935_4.h5,Cross,test1,task_working_memory,working_memory,2,162935,4
Final Project data\Final Project data\Cross\test1\task_working_memory_162935_5.h5,Cross,test1,task_working_memory,working_memory,2,162935,5
Final Project data\Final Project data\Cross\test1\task_working_memory_162935_7.h5,Cross,test1,task_working_memory,working_memory,2,162935,7
Final Project data\Final Project data\Cross\test2\rest_707749_10.h5,Cross,test2,rest,rest,0,707749,10
Final Project data\Final Project data\Cross\test2\rest_707749_4.h5,Cross,test2,rest,rest,0,707749,4
Final Project data\Final Project data\Cross\test2\rest_707749_5.h5,Cross,test2,rest,rest,0,707749,5
Final Project data\Final Project data\Cross\test2\rest_707749_7.h5,Cross,test2,rest,rest,0,707749,7
Final Project data\Final Project data\Cross\test2\task_motor_707749_2.h5,Cross,test2,task_motor,motor,3,707749,2
Final Project data\Final Project data\Cross\test2\task_motor_707749_7.h5,Cross,test2,task_motor,motor,3,707749,7
Final Project data\Final Project data\Cross\test2\task_motor_707749_8.h5,Cross,test2,task_motor,motor,3,707749,8
Final Project data\Final Project data\Cross\test2\task_motor_707749_9.h5,Cross,test2,task_motor,motor,3,707749,9
Final Project data\Final Project data\Cross\test2\task_story_math_707749_10.h5,Cross,test2,task_story_math,math_story,1,707749,10
Final Project data\Final Project data\Cross\test2\task_story_math_707749_2.h5,Cross,test2,task_story_math,math_story,1,707749,2
Final Project data\Final Project data\Cross\test2\task_story_math_707749_5.h5,Cross,test2,task_story_math,math_story,1,707749,5
Final Project data\Final Project data\Cross\test2\task_story_math_707749_6.h5,Cross,test2,task_story_math,math_story,1,707749,6
Final Project data\Final Project data\Cross\test2\task_working_memory_707749_10.h5,Cross,test2,task_working_memory,working_memory,2,707749,10
Final Project data\Final Project data\Cross\test2\task_working_memory_707749_4.h5,Cross,test2,task_working_memory,working_memory,2,707749,4
Final Project data\Final Project data\Cross\test2\task_working_memory_707749_8.h5,Cross,test2,task_working_memory,working_memory,2,707749,8
Final Project data\Final Project data\Cross\test2\task_working_memory_707749_9.h5,Cross,test2,task_working_memory,working_memory,2,707749,9
Final Project data\Final Project data\Cross\test3\rest_725751_10.h5,Cross,test3,rest,rest,0,725751,10
Final Project data\Final Project data\Cross\test3\rest_725751_4.h5,Cross,test3,rest,rest,0,725751,4
Final Project data\Final Project data\Cross\test3\rest_735148_4.h5,Cross,test3,rest,rest,0,735148,4
Final Project data\Final Project data\Cross\test3\rest_735148_9.h5,Cross,test3,rest,rest,0,735148,9
Final Project data\Final Project data\Cross\test3\task_motor_725751_1.h5,Cross,test3,task_motor,motor,3,725751,1
Final Project data\Final Project data\Cross\test3\task_motor_725751_9.h5,Cross,test3,task_motor,motor,3,725751,9
Final Project data\Final Project data\Cross\test3\task_motor_735148_2.h5,Cross,test3,task_motor,motor,3,735148,2
Final Project data\Final Project data\Cross\test3\task_motor_735148_7.h5,Cross,test3,task_motor,motor,3,735148,7
Final Project data\Final Project data\Cross\test3\task_story_math_725751_1.h5,Cross,test3,task_story_math,math_story,1,725751,1
Final Project data\Final Project data\Cross\test3\task_story_math_725751_7.h5,Cross,test3,task_story_math,math_story,1,725751,7
Final Project data\Final Project data\Cross\test3\task_story_math_735148_3.h5,Cross,test3,task_story_math,math_story,1,735148,3
Final Project data\Final Project data\Cross\test3\task_story_math_735148_5.h5,Cross,test3,task_story_math,math_story,1,735148,5
Final Project data\Final Project data\Cross\test3\task_working_memory_725751_3.h5,Cross,test3,task_working_memory,working_memory,2,725751,3
Final Project data\Final Project data\Cross\test3\task_working_memory_725751_8.h5,Cross,test3,task_working_memory,working_memory,2,725751,8
Final Project data\Final Project data\Cross\test3\task_working_memory_735148_2.h5,Cross,test3,task_working_memory,working_memory,2,735148,2
Final Project data\Final Project data\Cross\test3\task_working_memory_735148_4.h5,Cross,test3,task_working_memory,working_memory,2,735148,4
Final Project data\Final Project data\Cross\train\rest_113922_1.h5,Cross,train,rest,rest,0,113922,1
Final Project data\Final Project data\Cross\train\rest_113922_2.h5,Cross,train,rest,rest,0,113922,2
Final Project data\Final Project data\Cross\train\rest_113922_3.h5,Cross,train,rest,rest,0,113922,3
Final Project data\Final Project data\Cross\train\rest_113922_4.h5,Cross,train,rest,rest,0,113922,4
Final Project data\Final Project data\Cross\train\rest_113922_5.h5,Cross,train,rest,rest,0,113922,5
Final Project data\Final Project data\Cross\train\rest_113922_6.h5,Cross,train,rest,rest,0,113922,6
Final Project data\Final Project data\Cross\train\rest_113922_7.h5,Cross,train,rest,rest,0,113922,7
Final Project data\Final Project data\Cross\train\rest_113922_8.h5,Cross,train,rest,rest,0,113922,8
Final Project data\Final Project data\Cross\train\rest_164636_1.h5,Cross,train,rest,rest,0,164636,1
Final Project data\Final Project data\Cross\train\rest_164636_2.h5,Cross,train,rest,rest,0,164636,2
Final Project data\Final Project data\Cross\train\rest_164636_3.h5,Cross,train,rest,rest,0,164636,3
Final Project data\Final Project data\Cross\train\rest_164636_4.h5,Cross,train,rest,rest,0,164636,4
Final Project data\Final Project data\Cross\train\rest_164636_5.h5,Cross,train,rest,rest,0,164636,5
