epoch,train_loss,train_accuracy,val_window_accuracy,val_window_balanced_accuracy,val_window_macro_f1,val_window_macro_precision,val_window_macro_recall,val_file_accuracy,val_file_balanced_accuracy,val_file_macro_f1,val_file_macro_precision,val_file_macro_recall,learning_rate
1,1.4058316548665364,0.2604166666666667,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
2,1.256342887878418,0.3984375,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
3,1.0937485297520955,0.5364583333333334,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
4,1.0131954352060955,0.5911458333333334,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
5,0.9674565593401591,0.6041666666666666,0.28125,0.28125,0.19505494505494508,0.1953703703703704,0.28125,0.25,0.25,0.1,0.0625,0.25,0.0003
6,0.9160760591427485,0.6145833333333334,0.40625,0.40625,0.3065934065934066,0.32407407407407407,0.40625,0.5,0.5,0.375,0.3333333333333333,0.5,0.0003
7,0.8599506467580795,0.6458333333333334,0.2890625,0.2890625,0.1707933740191805,0.3150406504065041,0.2890625,0.25,0.25,0.1,0.0625,0.25,0.0003
8,0.867518295844396,0.5963541666666666,0.296875,0.296875,0.20277777777777778,0.1625,0.296875,0.375,0.375,0.2777777777777778,0.3214285714285714,0.375,0.0003
9,0.8352546443541845,0.6588541666666666,0.296875,0.296875,0.2002272727272727,0.1515231092436975,0.296875,0.5,0.5,0.34285714285714286,0.26666666666666666,0.5,0.0003
10,0.7749283288915952,0.6770833333333334,0.25,0.25,0.19603283585081538,0.16533758639021795,0.25,0.375,0.375,0.2678571428571429,0.225,0.375,0.0003
11,0.7295080696543058,0.7265625,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
12,0.7585416659712791,0.6979166666666666,0.328125,0.328125,0.22677564176355475,0.18194561255957387,0.328125,0.5,0.5,0.375,0.3333333333333333,0.5,0.00015
13,0.6174578567345937,0.7890625,0.453125,0.453125,0.43530736828636746,0.48939393939393944,0.453125,0.75,0.75,0.65,0.5833333333333333,0.75,0.00015
14,0.6348096802830696,0.7578125,0.3125,0.3125,0.23237263426216917,0.36927759740259747,0.3125,0.25,0.25,0.1,0.0625,0.25,0.00015
15,0.5900442103544871,0.8046875,0.359375,0.359375,0.3055555555555556,0.2994089244089244,0.359375,0.5,0.5,0.375,0.3333333333333333,0.5,0.00015
16,0.5666177446643511,0.7890625,0.1640625,0.1640625,0.0772058823529412,0.05048076923076923,0.1640625,0.25,0.25,0.1,0.0625,0.25,0.00015
17,0.5250960613290468,0.8229166666666666,0.34375,0.34375,0.3135344534740913,0.314064558629776,0.34375,0.375,0.375,0.35,0.3333333333333333,0.375,0.00015
18,0.5608914643526077,0.8203125,0.34375,0.34375,0.28966177581184593,0.40280054644808744,0.34375,0.5,0.5,0.34285714285714286,0.26666666666666666,0.5,0.00015
19,0.5110836339493593,0.8385416666666666,0.4765625,0.4765625,0.4176789077212806,0.4954755892255892,0.4765625,0.375,0.375,0.2777777777777778,0.3214285714285714,0.375,7.5e-05
20,0.472621434678634,0.8307291666666666,0.5625,0.5625,0.5139625891907653,0.5035276300236406,0.5625,0.75,0.75,0.6666666666666666,0.625,0.75,7.5e-05
21,0.46922137464086217,0.8541666666666666,0.3984375,0.3984375,0.32305730752935724,0.4960599334073252,0.3984375,0.375,0.375,0.2777777777777778,0.3214285714285714,0.375,7.5e-05
22,0.47700462117791176,0.8489583333333334,0.546875,0.546875,0.5559123243431963,0.5730357142857143,0.546875,0.75,0.75,0.7416666666666667,0.7916666666666666,0.75,7.5e-05
23,0.4252103554705779,0.8697916666666666,0.3671875,0.3671875,0.30789129569617374,0.5698198198198199,0.3671875,0.25,0.25,0.1,0.0625,0.25,7.5e-05
24,0.4358368416627248,0.8671875,0.4609375,0.4609375,0.42070247933884297,0.4911516853932584,0.4609375,0.5,0.5,0.375,0.3333333333333333,0.5,7.5e-05
25,0.41295956696073216,0.875,0.3671875,0.3671875,0.2976498744507219,0.35276823467230445,0.3671875,0.375,0.375,0.2777777777777778,0.3214285714285714,0.375,3.75e-05
26,0.4401334561407566,0.84375,0.4609375,0.4609375,0.41863636363636364,0.542572463768116,0.4609375,0.5,0.5,0.375,0.3333333333333333,0.5,3.75e-05
27,0.4080823212862015,0.8619791666666666,0.484375,0.484375,0.47112831146444595,0.5246862214825602,0.484375,0.75,0.75,0.6666666666666666,0.625,0.75,3.75e-05
28,0.4461286974449952,0.8463541666666666,0.546875,0.546875,0.5343934683374567,0.5609215346057452,0.546875,0.75,0.75,0.6666666666666666,0.625,0.75,3.75e-05
