epoch,train_loss,train_accuracy,val_window_accuracy,val_window_balanced_accuracy,val_window_macro_f1,val_window_macro_precision,val_window_macro_recall,val_file_accuracy,val_file_balanced_accuracy,val_file_macro_f1,val_file_macro_precision,val_file_macro_recall,learning_rate
1,1.5619862874348958,0.2421875,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
2,1.3102989196777344,0.3932291666666667,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
3,1.1269534428914387,0.5026041666666666,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
4,1.0044519876440365,0.5494791666666666,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
5,0.9268258512020111,0.5963541666666666,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.00015
6,0.8745716859896978,0.625,0.484375,0.484375,0.43149919542285003,0.5694643633202956,0.484375,0.75,0.75,0.65,0.5833333333333333,0.75,0.00015
7,0.8356693436702093,0.65625,0.53125,0.53125,0.4720965309200603,0.475,0.53125,0.75,0.75,0.6666666666666666,0.625,0.75,0.00015
8,0.802832749982675,0.6510416666666666,0.484375,0.484375,0.43146496217552016,0.4351254480286738,0.484375,0.625,0.625,0.5416666666666666,0.5,0.625,0.00015
9,0.8021224662661552,0.6666666666666666,0.4765625,0.4765625,0.41921216038863096,0.5064144379212872,0.4765625,0.625,0.625,0.5595238095238095,0.6,0.625,0.00015
10,0.7696247647205988,0.6770833333333334,0.3984375,0.3984375,0.2781933256616801,0.21842607746863069,0.3984375,0.5,0.5,0.375,0.3333333333333333,0.5,7.5e-05
11,0.7429281597336134,0.6822916666666666,0.5078125,0.5078125,0.49307436790505677,0.5048137626262625,0.5078125,0.5,0.5,0.41666666666666663,0.375,0.5,7.5e-05
12,0.7690632989009222,0.703125,0.6015625,0.6015625,0.5706829681270335,0.6394927536231884,0.6015625,0.75,0.75,0.6666666666666666,0.625,0.75,7.5e-05
13,0.7152909810344378,0.7083333333333334,0.5546875,0.5546875,0.5053827807577371,0.561028662883748,0.5546875,0.75,0.75,0.6666666666666666,0.625,0.75,7.5e-05
14,0.702616440753142,0.7109375,0.4453125,0.4453125,0.3866507113415769,0.43875043875043873,0.4453125,0.375,0.375,0.2777777777777778,0.3214285714285714,0.375,3.75e-05
