epoch,train_loss,train_accuracy,val_window_accuracy,val_window_balanced_accuracy,val_window_macro_f1,val_window_macro_precision,val_window_macro_recall,val_file_accuracy,val_file_balanced_accuracy,val_file_macro_f1,val_file_macro_precision,val_file_macro_recall,learning_rate
1,1.3938958062065971,0.31666666666666665,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
2,1.1360182020399305,0.49444444444444446,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
3,0.9407054318322076,0.5777777777777777,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
4,0.866349646780226,0.6083333333333333,0.275,0.275,0.14749536178107606,0.3141025641025641,0.275,0.25,0.25,0.1,0.0625,0.25,0.0003
5,0.7985640870200263,0.625,0.275,0.275,0.2223843572158179,0.21161970017000667,0.275,0.5,0.5,0.34285714285714286,0.26666666666666666,0.5,0.0003
6,0.7198972543080647,0.6833333333333333,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
7,0.6767724805408054,0.7527777777777778,0.36666666666666664,0.3666666666666667,0.261718125099984,0.278697886921759,0.3666666666666667,0.25,0.25,0.1,0.0625,0.25,0.0003
8,0.6016107294294569,0.7722222222222223,0.30833333333333335,0.30833333333333335,0.21047552202140726,0.26876563803169307,0.30833333333333335,0.25,0.25,0.1,0.0625,0.25,0.0003
9,0.5564201858308581,0.7916666666666666,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.00015
10,0.49481424887975056,0.8083333333333333,0.24166666666666667,0.24166666666666664,0.16817261255647298,0.16792600312662845,0.24166666666666664,0.25,0.25,0.1,0.0625,0.25,0.00015
11,0.4578703549173143,0.8416666666666667,0.2916666666666667,0.2916666666666667,0.2671116196287821,0.34423076923076923,0.2916666666666667,0.375,0.375,0.32142857142857145,0.3,0.375,0.00015
12,0.380881831381056,0.8777777777777778,0.4,0.4,0.351236708606804,0.5011520737327189,0.4,0.5,0.5,0.375,0.3333333333333333,0.5,0.00015
13,0.4249710162480672,0.8333333333333334,0.5,0.5,0.4368027281901381,0.4653824200913242,0.5,0.625,0.625,0.5595238095238095,0.6,0.625,0.00015
14,0.34711777832772994,0.8972222222222223,0.45,0.44999999999999996,0.4722242921013413,0.5567741935483871,0.44999999999999996,0.625,0.625,0.5833333333333333,0.625,0.625,0.00015
15,0.28842622306611804,0.9305555555555556,0.30833333333333335,0.3083333333333333,0.3250448028673835,0.43092757936507936,0.3083333333333333,0.375,0.375,0.3666666666666667,0.41666666666666663,0.375,0.00015
16,0.30515535871187843,0.9,0.25833333333333336,0.2583333333333333,0.17307692307692307,0.14367816091954022,0.2583333333333333,0.25,0.25,0.1,0.0625,0.25,0.00015
17,0.2770864440335168,0.9222222222222223,0.25833333333333336,0.2583333333333333,0.19080687830687829,0.16987179487179488,0.2583333333333333,0.375,0.375,0.29166666666666663,0.3333333333333333,0.375,7.5e-05
18,0.24005255467361875,0.925,0.375,0.375,0.3482142857142857,0.4182692307692308,0.375,0.375,0.375,0.2777777777777778,0.3214285714285714,0.375,7.5e-05
19,0.21683954132927788,0.9416666666666667,0.43333333333333335,0.43333333333333335,0.39261363636363633,0.4529220779220779,0.43333333333333335,0.5,0.5,0.3928571428571429,0.35,0.5,7.5e-05
20,0.20028674867418078,0.9583333333333334,0.43333333333333335,0.43333333333333335,0.36145005577667294,0.3998096961377675,0.43333333333333335,0.375,0.375,0.25,0.20833333333333331,0.375,7.5e-05
21,0.23487630751397875,0.9305555555555556,0.425,0.425,0.43024891774891777,0.5138888888888888,0.425,0.5,0.5,0.3928571428571429,0.35,0.5,3.75e-05
